artists,frequency,rank_sum,ranking_score,rank,rank_sum_normalized,frequency_normalized
"Future, Metro Boomin, Kendrick Lamar",168,27.366287751866825,125.04943162780023,28.0,0.15606742623887057,0.14636283961437338
Luke Combs,224,6.920415936465824,122.38062390469874,29.0,0.03938121930675542,0.19544259421560037
Brenda Lee,79,50.777896614874074,115.66684492231111,30.0,0.28967932897734167,0.06836108676599474
Xavi,187,12.10722663564602,111.66083995346904,31.0,0.06898275804409387,0.16301489921121826
Gunna,196,8.057078728151364,110.08561809222705,32.0,0.04586824372518829,0.17090271691498687
Dasha,198,6.588559808627812,108.88283971294172,33.0,0.03748729014813532,0.17265556529360213
21 Savage,140,21.837660035084415,102.75649005262662,34.0,0.12451511075750468,0.12182296231375986
"Morgan Wallen, ERNEST",186,6.40960030502116,102.61440045753174,35.0,0.0364659541122425,0.16213847502191062
The Neighbourhood,184,5.1950719816148405,99.79260797242226,36.0,0.029534544948112168,0.16038562664329536
"Travis Scott, Playboi Carti",178,6.40853599913265,98.61280399869898,37.0,0.03645988003439114,0.1551270815074496
"Drake, Yeat",140,19.03060444994463,98.54590667491695,38.0,0.10849502260304186,0.12182296231375986
Gigi Perez,147,14.832735456083926,95.74910318412589,39.0,0.08453745236519221,0.12795793163891325
Frank Ocean,176,4.609317970526721,94.91397695579008,40.0,0.02619160049623215,0.15337423312883436
Beyoncé,135,17.261622538485884,93.39243380772882,41.0,0.09839930297595512,0.11744084136722174
Lil Tecca,163,7.794661665722916,93.19199249858437,42.0,0.04437060880281836,0.14198071866783524
"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",91,31.543341816085142,92.81501272412771,43.0,0.17990620402759125,0.07887817703768624
Djo,145,12.697571377780458,91.54635706667068,44.0,0.07235190216100539,0.126205083260298
Travis Scott,155,7.563412393043741,88.84511858956562,45.0,0.04305085092072023,0.13496932515337426
The Kid LAROI,158,5.10647288399303,86.65970932598954,46.0,0.029028902893205522,0.13759859772129712
J. Cole,147,5.359211807638908,81.53881771145836,47.0,0.030471303912375,0.12795793163891325
"The Weeknd, Playboi Carti",108,16.961724836471216,79.44258725470682,48.0,0.09668776308019043,0.09377738825591586
Mariah Carey,93,18.548607935187434,74.32291190278116,49.0,0.1057442303859474,0.08063102541630149
"Drake, J. Cole",130,6.214878681562968,74.32231802234445,50.0,0.035354662412179855,0.11305872042068361
"Drake, Sexyy Red, SZA",130,5.271066453871298,72.90659968080695,51.0,0.029968251409517956,0.11305872042068361
Michael Marcagi,128,3.656998299352164,69.48549744902824,52.0,0.020756636841002034,0.11130587204206836
